# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
10.000,2100.000,70.070,-5.297,-0.704,969.000,349.000,3.922,3.412,1.000,1.000
10.000,2101.000,70.103,-5.768,0.366,968.000,350.000,-0.470,1.070,-0.260,-0.256
10.000,2102.000,70.137,-7.191,0.329,966.000,350.000,-1.423,-0.037,-0.123,-0.109
10.000,2103.000,70.170,-6.472,-1.703,966.000,348.000,0.719,-2.033,-0.100,-0.066
10.000,2104.000,70.203,-4.825,-2.533,967.000,347.000,1.647,-0.830,0.130,-0.058
10.000,2105.000,70.237,-6.342,0.720,965.000,350.000,-1.518,3.253,-0.063,0.119
10.000,2106.000,70.270,-6.708,-3.352,964.000,346.000,-0.366,-4.072,-0.005,-0.110
10.000,2107.000,70.304,-7.037,4.983,963.000,354.000,-0.329,8.335,-0.059,0.067
10.000,2108.000,70.337,-5.333,2.485,964.000,352.000,1.704,-2.498,0.095,-0.049
10.000,2109.000,70.370,-6.800,2.237,962.000,352.000,-1.467,-0.249,-0.060,0.027
10.000,2110.000,70.404,-8.120,3.013,960.000,353.000,-1.320,0.776,0.000,-0.075
10.000,2111.000,70.437,-4.308,2.712,963.000,353.000,3.812,-0.301,-0.062,0.017
10.000,2112.000,70.470,-2.877,1.440,964.000,352.000,1.431,-1.271,0.103,-0.000
10.000,2113.000,70.504,-6.590,3.296,960.000,354.000,-3.712,1.856,-0.083,0.002
10.000,2114.000,70.537,-6.931,4.967,959.000,356.000,-0.341,1.670,0.018,0.084
10.000,2115.000,70.570,-8.238,3.470,957.000,355.000,-1.307,-1.497,-0.063,-0.047
10.000,2116.000,70.604,-8.414,2.123,956.000,354.000,-0.176,-1.347,0.086,-0.087
10.000,2117.000,70.637,-6.572,3.911,957.000,356.000,1.841,1.788,-0.087,0.044
10.000,2118.000,70.671,-2.915,6.520,960.000,359.000,3.657,2.609,0.128,0.015
10.000,2119.000,70.704,-3.624,3.868,959.000,357.000,-0.708,-2.652,-0.102,-0.070
10.000,2120.000,70.737,-2.261,3.481,960.000,357.000,1.362,-0.387,-0.151,-0.011
10.000,2121.000,70.771,-2.035,3.133,960.000,357.000,0.226,-0.348,0.076,0.026
10.000,2122.000,70.804,-2.832,0.820,959.000,355.000,-0.796,-2.313,0.027,0.004
10.000,2123.000,70.837,-2.548,1.738,959.000,356.000,0.283,0.918,-0.005,-0.062
10.000,2124.000,70.871,-3.294,3.564,958.000,358.000,-0.745,1.826,0.034,0.069
10.000,2125.000,70.904,-0.964,3.207,960.000,358.000,2.329,-0.356,0.055,0.097
10.000,2126.000,70.938,-0.868,3.887,960.000,359.000,0.096,0.679,0.067,-0.027
10.000,2127.000,70.971,-4.781,3.498,956.000,359.000,-3.913,-0.389,-0.075,-0.044
10.000,2128.000,71.004,-4.303,1.148,956.000,357.000,0.478,-2.350,0.010,0.039
10.000,2129.000,71.038,-0.873,4.033,959.000,360.000,3.430,2.885,0.053,0.061
10.000,2130.000,71.071,0.215,-2.370,960.000,354.000,1.087,-6.403,-0.024,-0.118
10.000,2131.000,71.104,0.193,-1.133,960.000,355.000,-0.021,1.237,-0.056,0.040
10.000,2132.000,71.138,-1.826,0.980,958.000,357.000,-2.019,2.113,0.008,-0.005
10.000,2133.000,71.171,-5.644,2.882,954.000,359.000,-3.817,1.902,-0.032,0.033
10.000,2134.000,71.204,-0.079,3.594,959.000,360.000,5.564,0.712,0.085,-0.026
10.000,2135.000,71.238,0.929,0.235,960.000,357.000,1.008,-3.359,0.014,-0.006
10.000,2136.000,71.271,1.836,2.211,961.000,359.000,0.907,1.977,-0.124,0.019
10.000,2137.000,71.305,0.652,0.990,960.000,358.000,-1.184,-1.221,0.139,-0.088
