# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
0.000,2100.000,70.070,-3.070,4.146,1241.000,121.000,-7.437,1.762,1.000,1.000
0.000,2101.000,70.103,-2.763,3.732,1241.000,121.000,0.307,-0.415,-0.203,-0.229
0.000,2102.000,70.137,-0.487,2.358,1243.000,120.000,2.276,-1.373,-0.033,0.107
0.000,2103.000,70.170,1.562,3.123,1245.000,121.000,2.049,0.764,-0.126,-0.090
0.000,2104.000,70.203,-2.594,0.810,1241.000,119.000,-4.156,-2.312,0.179,0.017
0.000,2105.000,70.237,-6.335,-0.271,1237.000,118.000,-3.741,-1.081,-0.059,-0.050
0.000,2106.000,70.270,-6.701,-0.244,1236.000,118.000,-0.367,0.027,-0.076,0.155
0.000,2107.000,70.304,-8.031,2.781,1234.000,121.000,-1.330,3.024,0.038,0.046
0.000,2108.000,70.337,2.772,0.503,1244.000,119.000,10.803,-2.278,0.053,0.067
0.000,2109.000,70.370,5.495,-4.548,1247.000,114.000,2.723,-5.050,-0.005,-0.099
0.000,2110.000,70.404,4.945,-0.093,1247.000,118.000,-0.549,4.455,0.141,0.034
0.000,2111.000,70.437,3.451,0.916,1246.000,119.000,-1.495,1.009,-0.025,-0.101
0.000,2112.000,70.470,4.106,-0.175,1247.000,118.000,0.655,-1.092,0.016,-0.011
0.000,2113.000,70.504,-3.305,-0.158,1240.000,118.000,-7.411,0.018,-0.116,0.008
0.000,2114.000,70.537,2.026,-1.142,1245.000,117.000,5.330,-0.984,0.129,-0.034
0.000,2115.000,70.570,3.823,-1.028,1247.000,117.000,1.797,0.114,0.024,-0.011
0.000,2116.000,70.604,5.441,-1.925,1249.000,116.000,1.618,-0.897,-0.042,0.036
0.000,2117.000,70.637,6.897,-3.732,1251.000,114.000,1.456,-1.808,-0.099,-0.012
0.000,2118.000,70.671,1.207,0.641,1246.000,118.000,-5.690,4.373,0.066,-0.052
0.000,2119.000,70.704,0.086,0.577,1245.000,118.000,-1.121,-0.064,0.018,0.051
0.000,2120.000,70.737,1.078,1.519,1246.000,119.000,0.991,0.942,-0.070,-0.140
0.000,2121.000,70.771,-4.030,-0.633,1241.000,117.000,-5.108,-2.152,0.120,0.093
0.000,2122.000,70.804,-1.627,-1.570,1243.000,116.000,2.403,-0.937,-0.027,-0.068
0.000,2123.000,70.837,-3.464,-1.413,1241.000,116.000,-1.837,0.157,0.004,0.003
0.000,2124.000,70.871,-5.118,-3.271,1239.000,114.000,-1.654,-1.859,-0.043,0.006
0.000,2125.000,70.904,-1.606,-2.944,1242.000,114.000,3.512,0.327,0.138,0.044
0.000,2126.000,70.938,-2.446,-2.650,1241.000,114.000,-0.839,0.294,-0.042,-0.185
0.000,2127.000,70.971,-2.201,-0.385,1241.000,116.000,0.245,2.265,-0.056,0.066
0.000,2128.000,71.004,-2.981,-0.346,1240.000,116.000,-0.780,0.038,-0.009,-0.051
0.000,2129.000,71.038,2.317,0.688,1245.000,117.000,5.298,1.035,0.205,0.062
0.000,2130.000,71.071,5.085,-2.381,1248.000,114.000,2.768,-3.069,0.011,-0.044
0.000,2131.000,71.104,-4.423,-0.142,1239.000,116.000,-9.509,2.238,0.028,0.099
0.000,2132.000,71.138,-6.981,-0.128,1236.000,116.000,-2.558,0.014,-0.088,-0.202
0.000,2133.000,71.171,4.717,-2.115,1247.000,114.000,11.698,-1.987,0.029,0.069
0.000,2134.000,71.204,-0.754,-1.904,1242.000,114.000,-5.472,0.212,-0.070,-0.029
0.000,2135.000,71.238,-15.679,0.287,1227.000,116.000,-14.925,2.190,0.087,0.067
0.000,2136.000,71.271,-10.111,0.258,1231.000,116.000,5.568,-0.029,-0.035,-0.104
0.000,2137.000,71.305,-15.100,1.232,1225.000,117.000,-4.989,0.974,0.112,0.015
0.000,2138.000,71.338,5.410,1.109,1244.000,117.000,20.510,-0.123,-0.135,-0.033
0.000,2139.000,71.371,-6.131,-0.002,1233.000,116.000,-11.541,-1.111,0.101,-0.013
0.000,2140.000,71.405,-3.518,-2.002,1235.000,114.000,2.613,-2.000,0.042,0.077
0.000,2141.000,71.438,-17.166,-2.802,1221.000,113.000,-13.648,-0.800,0.028,0.007
0.000,2142.000,71.471,-8.449,-0.521,1228.000,115.000,8.717,2.280,-0.065,0.013
0.000,2143.000,71.505,8.395,0.531,1244.000,116.000,16.845,1.052,-0.085,-0.031
0.000,2144.000,71.538,-11.444,0.478,1225.000,116.000,-19.840,-0.053,0.025,0.007
0.000,2145.000,71.571,-2.300,-1.570,1233.000,114.000,9.144,-2.048,-0.083,-0.085
0.000,2146.000,71.605,5.930,-3.413,1241.000,112.000,8.230,-1.843,-0.007,0.088
0.000,2147.000,71.638,11.337,-1.072,1247.000,114.000,5.407,2.341,0.012,-0.006
0.000,2148.000,71.672,2.204,0.035,1239.000,115.000,-9.134,1.107,-0.033,0.016
0.000,2149.000,71.705,-6.017,-1.968,1231.000,113.000,-8.220,-2.004,0.083,0.005
0.000,2150.000,71.738,4.585,-2.771,1241.000,112.000,10.602,-0.803,0.021,-0.029
0.000,2151.000,71.772,6.126,-1.494,1243.000,113.000,1.542,1.277,0.068,-0.060
0.000,2152.000,71.805,5.514,-2.345,1243.000,112.000,-0.613,-0.851,-0.132,0.052
0.000,2153.000,71.838,2.962,-2.110,1241.000,112.000,-2.551,0.234,-0.001,-0.013
0.000,2154.000,71.872,4.666,-0.899,1243.000,113.000,1.704,1.211,0.018,0.048
0.000,2155.000,71.905,6.200,0.191,1245.000,114.000,1.533,1.090,-0.037,-0.085
0.000,2156.000,71.939,5.580,2.172,1245.000,116.000,-0.620,1.981,-0.013,0.014
0.000,2157.000,71.972,5.022,0.954,1245.000,115.000,-0.558,-1.217,-0.070,0.031
0.000,2158.000,72.005,2.519,1.859,1243.000,116.000,-2.502,0.905,0.124,-0.000
0.000,2159.000,72.039,7.268,1.673,1248.000,116.000,4.748,-0.186,-0.015,0.002
0.000,2160.000,72.072,-0.459,-0.494,1241.000,114.000,-7.727,-2.167,-0.019,-0.019
0.000,2161.000,72.105,5.587,-0.445,1247.000,114.000,6.046,0.049,-0.053,-0.002
0.000,2162.000,72.139,5.028,-3.400,1247.000,111.000,-0.559,-2.956,0.055,-0.025
0.000,2163.000,72.172,0.525,0.940,1243.000,115.000,-4.503,4.340,0.029,-0.019
0.000,2164.000,72.205,-0.527,1.846,1242.000,116.000,-1.053,0.906,-0.079,0.018
0.000,2165.000,72.239,2.525,0.661,1245.000,115.000,3.053,-1.185,0.056,-0.009
0.000,2166.000,72.272,2.273,0.595,1245.000,115.000,-0.253,-0.066,-0.001,-0.066
0.000,2167.000,72.306,2.046,3.536,1245.000,118.000,-0.227,2.940,-0.068,0.027
0.000,2168.000,72.339,1.841,1.182,1245.000,116.000,-0.205,-2.354,-0.069,-0.013
0.000,2169.000,72.372,-4.343,3.064,1239.000,118.000,-6.184,1.882,0.099,0.024
0.000,2170.000,72.406,-4.909,4.757,1238.000,120.000,-0.566,1.694,-0.034,-0.030
0.000,2171.000,72.439,1.582,2.282,1244.000,118.000,6.491,-2.476,-0.011,0.017
0.000,2172.000,72.472,2.424,0.054,1245.000,116.000,0.842,-2.228,-0.018,-0.025
0.000,2173.000,72.506,1.182,-0.952,1244.000,115.000,-1.242,-1.005,-0.050,0.029
0.000,2174.000,72.539,0.063,2.143,1243.000,118.000,-1.118,3.095,0.011,-0.067
0.000,2175.000,72.572,3.057,-0.071,1246.000,116.000,2.994,-2.214,-0.080,0.041
0.000,2176.000,72.606,-2.249,2.936,1241.000,119.000,-5.306,3.007,0.087,-0.099
0.000,2177.000,72.639,-2.024,1.642,1241.000,118.000,0.225,-1.294,-0.022,0.023
0.000,2178.000,72.673,-5.821,0.478,1237.000,117.000,-3.798,-1.164,-0.000,-0.017
0.000,2179.000,72.706,0.761,-0.570,1243.000,116.000,6.582,-1.048,-0.004,0.038
0.000,2180.000,72.739,6.685,1.487,1249.000,118.000,5.924,2.057,-0.013,-0.079
0.000,2181.000,72.773,2.016,0.339,1245.000,117.000,-4.668,-1.149,0.018,0.121
0.000,2182.000,72.806,-1.185,-0.695,1242.000,116.000,-3.202,-1.034,-0.177,-0.017
