# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
7.000,300.000,10.010,-2.977,3.433,592.000,374.000,-1.891,-3.715,1.000,1.000
7.000,301.000,10.043,-5.679,0.090,589.000,371.000,-2.702,-3.343,-0.270,-0.410
7.000,302.000,10.077,-3.112,4.081,591.000,375.000,2.568,3.991,-0.098,-0.029
7.000,303.000,10.110,-1.800,4.673,592.000,376.000,1.311,0.592,0.030,0.050
7.000,304.000,10.143,2.380,1.206,596.000,373.000,4.180,-3.467,-0.035,0.004
7.000,305.000,10.177,-0.858,-2.915,593.000,369.000,-3.238,-4.121,0.031,-0.028
7.000,306.000,10.210,-4.772,4.377,589.000,376.000,-3.914,7.291,0.002,0.049
7.000,307.000,10.244,-3.295,-5.061,590.000,367.000,1.477,-9.438,-0.016,-0.091
7.000,308.000,10.277,-1.966,-0.555,591.000,371.000,1.330,4.506,0.058,0.037
7.000,309.000,10.310,-1.769,-0.499,591.000,371.000,0.197,0.055,-0.118,-0.025
7.000,310.000,10.344,-2.592,-0.450,590.000,371.000,-0.823,0.050,-0.005,0.019
7.000,311.000,10.377,-4.333,-2.405,588.000,369.000,-1.741,-1.955,0.016,-0.117
7.000,312.000,10.410,-0.900,-4.164,591.000,367.000,3.433,-1.760,0.019,0.117
7.000,313.000,10.444,0.190,-1.748,592.000,369.000,1.090,2.416,-0.053,-0.056
7.000,314.000,10.477,-4.829,-1.573,587.000,369.000,-5.019,0.175,-0.031,0.077
7.000,315.000,10.510,-2.346,-3.416,589.000,367.000,2.483,-1.843,0.035,-0.053
7.000,316.000,10.544,-2.111,-3.074,589.000,367.000,0.235,0.342,-0.041,0.020
7.000,317.000,10.577,-4.900,0.233,586.000,370.000,-2.789,3.307,-0.026,-0.082
7.000,318.000,10.611,-2.410,1.210,588.000,371.000,2.490,0.977,-0.001,0.070
7.000,319.000,10.644,0.831,2.089,591.000,372.000,3.241,0.879,-0.002,-0.058
7.000,320.000,10.677,2.748,1.880,593.000,372.000,1.917,-0.209,0.019,0.057
7.000,321.000,10.711,4.473,0.692,595.000,371.000,1.725,-1.188,-0.022,-0.037
7.000,322.000,10.744,3.026,3.623,594.000,374.000,-1.447,2.931,0.027,0.013
7.000,323.000,10.777,3.723,-1.739,595.000,369.000,0.697,-5.362,0.049,0.020
7.000,324.000,10.811,2.351,-3.565,594.000,367.000,-1.372,-1.826,-0.030,-0.085
7.000,325.000,10.844,3.116,-0.209,595.000,370.000,0.765,3.357,0.017,0.069
