# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
11.000,600.000,20.020,-5.176,11.287,1151.000,57.000,0.575,15.413
11.000,601.000,20.053,0.342,-4.842,1156.000,42.000,5.518,-16.129
11.000,602.000,20.087,-5.692,-4.358,1150.000,42.000,-6.034,0.484
11.000,603.000,20.120,-14.123,-4.922,1141.000,41.000,-8.431,-0.564
11.000,604.000,20.153,1.289,-2.430,1155.000,43.000,15.412,2.492
11.000,605.000,20.187,14.160,18.813,1168.000,64.000,12.871,21.243
11.000,606.000,20.220,7.744,40.932,1163.000,88.000,-6.416,22.119
11.000,607.000,20.254,-5.030,50.839,1151.000,102.000,-12.774,9.907
11.000,608.000,20.287,-14.527,61.755,1141.000,118.000,-9.497,10.916
11.000,609.000,20.320,-1.074,37.579,1153.000,100.000,13.453,-24.175
11.000,610.000,20.354,4.033,29.821,1158.000,96.000,5.107,-7.758
11.000,611.000,20.387,-4.370,15.839,1150.000,85.000,-8.403,-13.982
11.000,612.000,20.420,-2.933,22.255,1151.000,93.000,1.437,6.416
11.000,613.000,20.454,-5.640,29.030,1148.000,102.000,-2.707,6.774
11.000,614.000,20.487,-2.076,44.127,1151.000,120.000,3.564,15.097
11.000,615.000,20.520,-3.868,17.714,1149.000,98.000,-1.792,-26.413
11.000,616.000,20.554,5.518,13.943,1158.000,96.000,9.387,-3.771
11.000,617.000,20.587,12.967,13.548,1166.000,97.000,7.448,-0.394
11.000,618.000,20.621,11.670,25.194,1166.000,110.000,-1.297,11.645
11.000,619.000,20.654,9.503,5.674,1165.000,93.000,-2.167,-19.519
11.000,620.000,20.687,0.553,-8.893,1157.000,79.000,-8.950,-14.567
11.000,621.000,20.721,-23.503,-10.004,1133.000,77.000,-24.055,-1.111
11.000,622.000,20.754,-37.152,9.997,1117.000,96.000,-13.650,20.000
11.000,623.000,20.787,-33.437,20.997,1117.000,108.000,3.715,11.000
11.000,624.000,20.821,-42.093,38.897,1105.000,128.000,-8.656,17.900
11.000,625.000,20.854,-48.884,46.007,1094.000,139.000,-6.791,7.110
11.000,626.000,20.888,-20.996,32.407,1117.000,130.000,27.888,-13.601
11.000,627.000,20.921,-33.896,28.166,1102.000,129.000,-12.900,-4.241
11.000,628.000,20.954,-25.506,4.349,1107.000,108.000,8.390,-23.817
11.000,629.000,20.988,-16.956,-4.086,1113.000,100.000,8.551,-8.435
11.000,630.000,21.021,-11.260,-5.677,1117.000,98.000,5.696,-1.591
